location,sample date,Dissolved oxygen,Water temperature
Kannika,20-Nov-98,10.3,3.6
Kannika,20-Nov-98,9,14
Kannika,20-Nov-98,9,14
Sakda,20-Nov-98,8.46,14
Sakda,20-Nov-98,8.13,14
Sakda,20-Nov-98,7.93,14
Chai,26-Nov-98,8.87,11.1
Chai,26-Nov-98,9.09,10.6
Chai,26-Nov-98,10.03,10.8
Somchair,28-Nov-98,9.1,8.8
Busarakhan,28-Nov-98,12.08,8.4
Boonsri,05-Dec-98,10,6
Boonsri,05-Dec-98,10.1,5
Sakda,10-Dec-98,8.98,6.5
Sakda,10-Dec-98,8.9,6.5
Sakda,10-Dec-98,8.5,6.5
Kohsoom,13-Dec-98,8.8,4.4
Kannika,17-Dec-98,9.9,3.6
Kannika,17-Dec-98,9.7,3.6
Chai,18-Dec-98,0,0
Chai,18-Dec-98,0,0
Chai,18-Dec-98,0,0
Somchair,19-Dec-98,0,0
Busarakhan,19-Dec-98,0,0
Boonsri,09-Jan-99,10.6,1
Boonsri,09-Jan-99,10.2,1
Boonsri,09-Jan-99,10.6,1
Kohsoom,16-Jan-99,6.2,3.3
Sakda,16-Jan-99,10.4,0.5
Sakda,16-Jan-99,10.4,0.5
Sakda,16-Jan-99,10.4,0.5
Kannika,21-Jan-99,10.4,0.5
Kannika,21-Jan-99,10.4,0.5
Kannika,21-Jan-99,10.4,0.5
Somchair,27-Jan-99,13.5,2
Busarakhan,27-Jan-99,11,1.8
Chai,30-Jan-99,11,4.4
Chai,30-Jan-99,11,4.5
Chai,30-Jan-99,11,4.3
Boonsri,11-Feb-99,11.1,1.5
Boonsri,11-Feb-99,11,2.1
Boonsri,11-Feb-99,11.1,1.7
Kohsoom,13-Feb-99,5.6,5.8
Chai,18-Feb-99,10.9,5.8
Chai,18-Feb-99,12.4,5.9
Chai,18-Feb-99,11.7,5.9
Somchair,20-Feb-99,13.1,0.4
Busarakhan,20-Feb-99,14.4,3
Kannika,26-Feb-99,9.1,5.5
Kannika,26-Feb-99,8.9,5.5
Kannika,26-Feb-99,8.9,9
Sakda,27-Feb-99,8.7,8
Sakda,27-Feb-99,9,8
Sakda,27-Feb-99,8.3,8
Boonsri,11-Mar-99,10.8,5.8
Boonsri,11-Mar-99,10.6,5.4
Boonsri,11-Mar-99,10.7,5.6
Kohsoom,13-Mar-99,9.7,8.2
Chai,17-Mar-99,9.5,7.5
Chai,17-Mar-99,9.5,7.5
Chai,17-Mar-99,11.4,7.8
Somchair,19-Mar-99,11.3,5.4
Busarakhan,19-Mar-99,9.3,4.2
Kannika,24-Mar-99,9.2,6
Kannika,24-Mar-99,9.2,6
Kannika,24-Mar-99,9.3,6
Sakda,25-Mar-99,11,6
Sakda,25-Mar-99,9.1,6
Sakda,25-Mar-99,8.2,6
Boonsri,16-Apr-99,9.7,9
Boonsri,16-Apr-99,9.8,9
Boonsri,16-Apr-99,9.8,9
Kohsoom,22-Apr-99,5.2,14
Chai,22-Apr-99,9.1,11.5
Chai,22-Apr-99,9.2,11.5
Chai,22-Apr-99,8.9,11.5
Somchair,23-Apr-99,6.8,11
Busarakhan,23-Apr-99,8.8,15
Kannika,23-Apr-99,8.7,12
Kannika,23-Apr-99,8.8,12
Kannika,23-Apr-99,8.8,12
Sakda,26-Apr-99,8.8,13
Sakda,26-Apr-99,9,13
Sakda,26-Apr-99,8.7,13
Boonsri,13-May-99,8.6,12.8
Boonsri,13-May-99,8.5,12.4
Boonsri,13-May-99,8,12.6
Kohsoom,15-May-99,8.8,19
Chai,20-May-99,8.5,20
Chai,20-May-99,8,20.4
Chai,20-May-99,8.7,19.8
Sakda,26-May-99,7.3,18
Sakda,26-May-99,7.4,18
Sakda,26-May-99,6.4,19
Somchair,27-May-99,7.8,16.9
Busarakhan,27-May-99,6.5,16.9
Kannika,28-May-99,7.4,20
Kannika,28-May-99,6.9,20
Kannika,28-May-99,6.4,20
Boonsri,06-Jun-99,8.4,17
Boonsri,06-Jun-99,8.2,16.5
Boonsri,06-Jun-99,8.2,16.5
Kohsoom,18-Jun-99,2.9,27
Chai,19-Jun-99,6,26
Chai,19-Jun-99,6.3,26
Chai,19-Jun-99,6.1,26
Somchair,22-Jun-99,5.5,27
Busarakhan,22-Jun-99,7,26
Kannika,23-Jun-99,6.2,26.5
Kannika,23-Jun-99,6.5,26.5
Kannika,23-Jun-99,6.3,25
Sakda,25-Jun-99,6.4,27
Sakda,25-Jun-99,6.5,27
Sakda,25-Jun-99,6.3,27
Boonsri,22-Jul-99,6.9,20.6
Boonsri,22-Jul-99,7.11,20.2
Boonsri,22-Jul-99,6.8,20.4
Chai,22-Jul-99,6.8,21
Chai,22-Jul-99,7,20.2
Chai,22-Jul-99,6.6,20.4
Kohsoom,24-Jul-99,7.8,24
Somchair,24-Jul-99,8,18.5
Busarakhan,24-Jul-99,6.7,20.1
Kannika,25-Jul-99,6.5,22.5
Kannika,25-Jul-99,6.2,22.5
Kannika,25-Jul-99,6.5,22.5
Sakda,26-Jul-99,7.4,18
Sakda,28-Jul-99,5.8,23.5
Sakda,28-Jul-99,5.6,23.5
Sakda,28-Jul-99,5.6,23.5
Boonsri,19-Aug-99,6.9,23.5
Boonsri,19-Aug-99,7.1,23.5
Boonsri,19-Aug-99,6.9,23.5
Kohsoom,28-Aug-99,2.3,24
Chai,28-Aug-99,6,24
Chai,28-Aug-99,6.1,24
Chai,28-Aug-99,6,24
Somchair,29-Aug-99,5.4,21
Busarakhan,30-Aug-99,6.8,22
Kannika,30-Aug-99,6.1,22.5
Kannika,30-Aug-99,6.4,22.5
Kannika,30-Aug-99,6.3,22.5
Sakda,31-Aug-99,6.2,23
Sakda,31-Aug-99,6.5,23
Sakda,31-Aug-99,6.3,23
Boonsri,16-Sep-99,6.7,18
Boonsri,16-Sep-99,7,18.2
Boonsri,16-Sep-99,6.6,18.2
Chai,16-Sep-99,7.5,18
Chai,16-Sep-99,7.7,18
Chai,16-Sep-99,7.5,18
Kohsoom,18-Sep-99,3.8,20
Somchair,18-Sep-99,7.5,12.8
Busarakhan,18-Sep-99,8.3,14.2
Kannika,19-Sep-99,6.4,18
Kannika,19-Sep-99,6.8,18
Kannika,19-Sep-99,6.8,18
Sakda,21-Sep-99,6.8,18.5
Sakda,21-Sep-99,7.1,18.5
Sakda,21-Sep-99,6.2,18.5
Boonsri,10-Oct-99,8.8,17
Boonsri,10-Oct-99,8.6,17
Boonsri,10-Oct-99,8.8,17
Kohsoom,20-Oct-99,3.7,13.5
Chai,21-Oct-99,8.6,13
Chai,21-Oct-99,8.7,13
Chai,21-Oct-99,8.4,13
Somchair,21-Oct-99,6.8,10
Busarakhan,22-Oct-99,7.8,10
Kannika,22-Oct-99,8.6,13
Kannika,22-Oct-99,8.7,13
Kannika,22-Oct-99,8.4,13
Sakda,23-Oct-99,8.3,12.5
Sakda,23-Oct-99,8.6,12.5
Sakda,23-Oct-99,8.4,12.5
Boonsri,05-Nov-99,9.8,6.5
Boonsri,05-Nov-99,9.3,6.5
Boonsri,05-Nov-99,9.3,6.5
Kohsoom,07-Nov-99,5.4,8
Chai,18-Nov-99,8.3,7.6
Chai,18-Nov-99,9.7,9.1
Chai,18-Nov-99,9.4,7.6
Somchair,20-Nov-99,6.5,4
Busarakhan,20-Nov-99,6.6,4.9
Kannika,26-Nov-99,9.1,6.5
Kannika,26-Nov-99,8,6.5
Kannika,26-Nov-99,8,6.5
Sakda,26-Nov-99,10.3,7
Sakda,26-Nov-99,9.2,7
Sakda,26-Nov-99,9.5,7
Boonsri,09-Dec-99,9.2,5.5
Boonsri,09-Dec-99,9.1,6.2
Boonsri,09-Dec-99,9.4,6.2
Chai,09-Dec-99,9.1,5.3
Chai,09-Dec-99,10.6,5.3
Chai,09-Dec-99,10.5,5.2
Somchair,10-Dec-99,6.3,2.3
Busarakhan,10-Dec-99,6.5,2
Kohsoom,11-Dec-99,6.4,8.5
Sakda,15-Dec-99,10.1,4.5
Sakda,15-Dec-99,9.9,4.5
Sakda,15-Dec-99,10.1,4.5
Kannika,16-Dec-99,9.6,4
Kannika,16-Dec-99,9.8,4
Kannika,16-Dec-99,10.2,4
Boonsri,14-Jan-00,11.7,6
Boonsri,14-Jan-00,11.8,5.5
Boonsri,14-Jan-00,11.4,6
Chai,14-Jan-00,11.1,3.6
Chai,14-Jan-00,10.2,3.4
Chai,14-Jan-00,10.7,3.6
Somchair,15-Jan-00,6.3,0.7
Busarakhan,15-Jan-00,7.1,0.8
Kohsoom,16-Jan-00,8.4,5
Kannika,19-Jan-00,10.4,6
Kannika,19-Jan-00,11,6
Kannika,19-Jan-00,11,6
Sakda,19-Jan-00,10.4,6
Sakda,19-Jan-00,10.6,6
Sakda,19-Jan-00,10.8,6
Boonsri,10-Feb-00,11.6,3.6
Boonsri,10-Feb-00,11.7,3.5
Boonsri,10-Feb-00,11.6,3.7
Kohsoom,12-Feb-00,8.7,4
Chai,18-Feb-00,9.3,4.2
Chai,18-Feb-00,9.7,4.4
Chai,18-Feb-00,9.3,4.5
Kannika,18-Feb-00,11.2,4
Kannika,18-Feb-00,11.2,4
Kannika,18-Feb-00,11,4
Somchair,19-Feb-00,7.1,1.6
Busarakhan,19-Feb-00,7.2,1.5
Sakda,19-Feb-00,11.7,4.5
Sakda,19-Feb-00,11.6,4.5
Sakda,19-Feb-00,11.6,4.5
Boonsri,10-Mar-00,11.2,6
Boonsri,10-Mar-00,11.3,5.5
Boonsri,10-Mar-00,11.3,5.5
Kohsoom,12-Mar-00,8.6,7
Chai,18-Mar-00,10.3,5.3
Chai,18-Mar-00,11.6,5.3
Chai,18-Mar-00,10.1,5.3
Somchair,19-Mar-00,6.3,2.5
Busarakhan,19-Mar-00,7.4,2.3
Sakda,23-Mar-00,10.9,5.5
Sakda,23-Mar-00,11,5.5
Sakda,23-Mar-00,11,5.5
Kannika,24-Mar-00,11,6
Kannika,24-Mar-00,11,6
Kannika,24-Mar-00,10.9,6
Boonsri,14-Apr-00,9.9,7.7
Boonsri,14-Apr-00,9.9,7.2
Boonsri,14-Apr-00,9.7,7.5
Kohsoom,16-Apr-00,8.8,15
Chai,28-Apr-00,8.1,14
Chai,28-Apr-00,8.5,14
Chai,28-Apr-00,8.3,14
Somchair,28-Apr-00,7.3,14.5
Busarakhan,29-Apr-00,7.9,14.5
Kannika,29-Apr-00,8.3,14
Kannika,29-Apr-00,8.5,14
Kannika,29-Apr-00,8.5,14
Sakda,29-Apr-00,8.4,14
Sakda,29-Apr-00,8.6,14
Sakda,29-Apr-00,8.3,14
Boonsri,12-May-00,8,14
Boonsri,12-May-00,8.2,13.8
Boonsri,12-May-00,7.8,16.1
Kohsoom,14-May-00,6.4,17
Chai,19-May-00,7.4,13.4
Chai,19-May-00,7.2,13.6
Chai,19-May-00,7.7,13.3
Somchair,20-May-00,7.3,9.8
Sakda,26-May-00,7.3,18
Sakda,26-May-00,7.4,18
Sakda,26-May-00,7.4,18
Busarakhan,27-May-00,7.5,11.2
Kannika,27-May-00,7.7,18.5
Kannika,27-May-00,7.6,18.5
Kannika,27-May-00,7.7,18.5
Boonsri,09-Jun-00,6.6,21.5
Boonsri,09-Jun-00,6.8,20.6
Boonsri,09-Jun-00,6.5,21.7
Sakda,24-Jun-00,6.5,23
Sakda,24-Jun-00,6.4,23
Sakda,24-Jun-00,6.7,23
Kannika,25-Jun-00,6.3,23.5
Kannika,25-Jun-00,6.6,23.5
Kannika,25-Jun-00,6.4,23.5
Busarakhan,26-Jun-00,6.9,23
Somchair,27-Jun-00,5.7,23
Chai,28-Jun-00,6,25
Chai,28-Jun-00,6.4,25
Chai,28-Jun-00,6.2,25
Kohsoom,29-Jun-00,3.2,26
Boonsri,14-Jul-00,6.8,21.6
Boonsri,14-Jul-00,6.9,21.6
Boonsri,14-Jul-00,6.7,22
Kohsoom,16-Jul-00,6.2,26
Chai,21-Jul-00,7.5,22.5
Chai,21-Jul-00,7.3,22.5
Chai,21-Jul-00,7.8,22.5
Somchair,27-Jul-00,8,19.5
Busarakhan,28-Jul-00,8.6,21.8
Kannika,28-Jul-00,7.3,26
Kannika,28-Jul-00,7.2,26
Kannika,28-Jul-00,7.5,26
Sakda,29-Jul-00,7.4,26
Sakda,29-Jul-00,7.3,26
Sakda,29-Jul-00,7.5,26
Boonsri,17-Aug-00,5.4,26
Boonsri,17-Aug-00,5,26
Boonsri,17-Aug-00,5.2,26
Kohsoom,25-Aug-00,3,26.5
Chai,26-Aug-00,4.8,25
Chai,26-Aug-00,5,25
Chai,26-Aug-00,4.7,25
Somchair,27-Aug-00,6.5,22
Busarakhan,28-Aug-00,6.8,22
Kannika,28-Aug-00,5.6,25
Kannika,28-Aug-00,5.8,25
Kannika,28-Aug-00,5.7,25
Sakda,29-Aug-00,5.9,24.5
Sakda,29-Aug-00,5.6,24.5
Sakda,29-Aug-00,5.7,24.5
Boonsri,08-Sep-00,8.8,18.2
Boonsri,08-Sep-00,7.7,18.4
Boonsri,08-Sep-00,7.7,18
Kohsoom,10-Sep-00,4.1,23
Sakda,21-Sep-00,7.3,18.5
Sakda,21-Sep-00,7.3,18.5
Sakda,21-Sep-00,7.4,18.5
Chai,23-Sep-00,8.1,16
Chai,23-Sep-00,8.4,16
Chai,23-Sep-00,8.2,16
Kannika,23-Sep-00,8.2,18
Kannika,23-Sep-00,8,18
Kannika,23-Sep-00,8,18
Somchair,24-Sep-00,8.3,16
Busarakhan,24-Sep-00,8.4,16
Boonsri,06-Oct-00,9.2,13.8
Boonsri,06-Oct-00,9.3,13.9
Boonsri,06-Oct-00,9.2,13.8
Kohsoom,15-Oct-00,5.4,15
Chai,16-Oct-00,8.2,16
Chai,16-Oct-00,8.5,16
Chai,16-Oct-00,8.3,16
Somchair,17-Oct-00,7.5,13
Busarakhan,18-Oct-00,9.1,13
Kannika,18-Oct-00,8.4,16
Kannika,18-Oct-00,8.7,16
Kannika,18-Oct-00,8.6,16
Sakda,19-Oct-00,8.8,16
Sakda,19-Oct-00,8.5,16
Sakda,19-Oct-00,8.6,16
Boonsri,10-Nov-00,10,9
Boonsri,10-Nov-00,10.6,8.7
Boonsri,10-Nov-00,10.3,8.8
Kohsoom,12-Nov-00,8,9.8
Chai,18-Nov-00,10.2,5
Chai,18-Nov-00,10.2,5
Chai,18-Nov-00,10.6,5
Somchair,23-Nov-00,10.9,5
Sakda,23-Nov-00,10.6,5
Sakda,23-Nov-00,10.2,5
Sakda,23-Nov-00,10.2,5
Busarakhan,24-Nov-00,11.5,5
Kannika,25-Nov-00,9.5,4
Kannika,25-Nov-00,9.5,4
Kannika,25-Nov-00,9.6,4
Chai,03-Dec-00,11,3.8
Chai,03-Dec-00,10.5,3.8
Chai,03-Dec-00,11.2,4
Somchair,04-Dec-00,12.7,1.1
Busarakhan,04-Dec-00,12.9,1.7
Boonsri,08-Dec-00,11.9,1.9
Boonsri,08-Dec-00,11.3,2
Boonsri,08-Dec-00,11.4,2
Kohsoom,10-Dec-00,9,1.6
Kannika,30-Dec-00,11,2
Kannika,30-Dec-00,11,2
Kannika,30-Dec-00,11.2,2
Sakda,30-Dec-00,10,1.5
Sakda,30-Dec-00,10.9,1.5
Sakda,30-Dec-00,10.8,1.5
Chai,16-Jan-01,11.2,3.5
Chai,16-Jan-01,11,3.5
Chai,16-Jan-01,10.9,3.5
Somchair,17-Jan-01,10.5,3
Busarakhan,17-Jan-01,10.9,3.8
Boonsri,20-Jan-01,11.8,3
Boonsri,20-Jan-01,11.3,3.4
Boonsri,20-Jan-01,11.6,4
Sakda,25-Jan-01,11.4,3
Sakda,25-Jan-01,11.3,3
Sakda,25-Jan-01,11.4,3
Kannika,27-Jan-01,11.4,3
Kannika,27-Jan-01,11.3,3
Kannika,27-Jan-01,11.1,3
Kohsoom,28-Jan-01,9.2,2.5
Chai,17-Feb-01,11,2.4
Chai,17-Feb-01,10.7,2.6
Chai,17-Feb-01,11.3,2.4
Kohsoom,18-Feb-01,9.2,1.4
Somchair,18-Feb-01,10.3,3.6
Busarakhan,18-Feb-01,10,3.2
Sakda,22-Feb-01,11,3
Sakda,22-Feb-01,11.1,3
Sakda,22-Feb-01,11,3
Kannika,24-Feb-01,11.1,4
Kannika,24-Feb-01,10.8,4
Kannika,24-Feb-01,11.1,4
Boonsri,10-Mar-01,9.4,7.6
Boonsri,10-Mar-01,9.2,7.2
Boonsri,10-Mar-01,10.2,7.2
Kohsoom,18-Mar-01,8.9,5
Sakda,22-Mar-01,9.9,6.5
Sakda,22-Mar-01,9.8,6.5
Sakda,22-Mar-01,9.8,6.5
Kannika,25-Mar-01,9.8,8
Kannika,25-Mar-01,9.8,8
Kannika,25-Mar-01,9.7,8
Chai,31-Mar-01,9.8,7
Chai,31-Mar-01,9.8,7
Chai,31-Mar-01,10,7
Somchair,31-Mar-01,8.8,6.5
Busarakhan,31-Mar-01,12,6
Boonsri,19-Apr-01,10.2,12
Boonsri,19-Apr-01,10,12
Boonsri,19-Apr-01,10.4,12
Kohsoom,27-Apr-01,5.4,15
Chai,27-Apr-01,9,14
Chai,27-Apr-01,9.3,14
Chai,27-Apr-01,9.1,14
Somchair,29-Apr-01,8.5,14
Busarakhan,29-Apr-01,8.8,14.9
Kannika,29-Apr-01,8.9,14
Kannika,29-Apr-01,9.3,14
Kannika,29-Apr-01,9.1,14
Sakda,30-Apr-01,9.2,14
Sakda,30-Apr-01,9,14
Sakda,30-Apr-01,9,14
Boonsri,04-May-01,9,9
Boonsri,04-May-01,9.3,8
Boonsri,04-May-01,9,8
Kohsoom,13-May-01,5.5,17.5
Chai,27-May-01,6.9,18
Chai,27-May-01,6.9,17
Chai,27-May-01,7.1,17
Kannika,27-May-01,7.7,18.5
Kannika,27-May-01,7.8,18.5
Kannika,27-May-01,7.4,18.5
Sakda,27-May-01,8.1,19
Sakda,27-May-01,7.7,19
Sakda,27-May-01,7.8,19
Somchair,28-May-01,8.9,18
Busarakhan,28-May-01,7.2,19
Boonsri,06-Jun-01,6.9,23.5
Boonsri,06-Jun-01,6.6,23.5
Boonsri,06-Jun-01,6.8,23.5
Kohsoom,19-Jun-01,2.9,26
Chai,19-Jun-01,6.5,24.5
Chai,19-Jun-01,6.7,24.5
Chai,19-Jun-01,6.4,24.5
Somchair,21-Jun-01,5.5,24.5
Busarakhan,21-Jun-01,6.7,25.6
Kannika,21-Jun-01,6.3,25
Kannika,21-Jun-01,6.5,25
Kannika,21-Jun-01,6.5,25
Sakda,21-Jun-01,6.4,25
Sakda,21-Jun-01,6.6,25
Sakda,21-Jun-01,6.3,25
Chai,07-Jul-01,6.8,24
Chai,07-Jul-01,6.4,24
Chai,07-Jul-01,6.4,24
Boonsri,27-Jul-01,5.7,23.5
Boonsri,27-Jul-01,5.5,23
Boonsri,27-Jul-01,5.3,23
Kohsoom,27-Jul-01,5.2,25
Kannika,27-Jul-01,6.8,26
Kannika,27-Jul-01,6.6,26
Kannika,27-Jul-01,6.5,26
Sakda,27-Jul-01,7,26
Sakda,27-Jul-01,6.7,26
Sakda,27-Jul-01,6.6,26
Somchair,28-Jul-01,6.2,24
Busarakhan,28-Jul-01,6.8,23
Boonsri,04-Aug-01,7.4,23
Boonsri,04-Aug-01,6.9,23
Boonsri,04-Aug-01,7.4,23
Kohsoom,26-Aug-01,3.5,19
Chai,26-Aug-01,7,21
Chai,26-Aug-01,7.2,21
Chai,26-Aug-01,7,21
Somchair,28-Aug-01,6.1,18
Busarakhan,28-Aug-01,7.5,18
Kannika,28-Aug-01,6.9,20
Kannika,28-Aug-01,7.2,20
Kannika,28-Aug-01,7,20
Sakda,29-Aug-01,7,20
Sakda,29-Aug-01,7.3,20
Sakda,29-Aug-01,7.1,20
Boonsri,14-Sep-01,6.3,20
Boonsri,14-Sep-01,6.3,20
Boonsri,14-Sep-01,6.8,20
Kohsoom,16-Sep-01,4.8,22
Chai,22-Sep-01,6.8,21
Chai,22-Sep-01,6.7,21
Chai,22-Sep-01,7.2,21.2
Somchair,23-Sep-01,8.6,18
Busarakhan,23-Sep-01,8.2,17
Kannika,25-Sep-01,6.9,20
Kannika,25-Sep-01,6.8,20
Kannika,25-Sep-01,6.9,20
Sakda,25-Sep-01,7,20.5
Sakda,25-Sep-01,7,20.5
Sakda,25-Sep-01,7,20.5
Boonsri,12-Oct-01,6.8,16
Boonsri,12-Oct-01,6.6,16.5
Boonsri,12-Oct-01,6.9,16
Kohsoom,14-Oct-01,5.4,18.8
Somchair,18-Nov-01,10.82,5
Busarakhan,18-Nov-01,10.66,4
Chai,22-Nov-01,8.8,8
Chai,22-Nov-01,8.32,8
Chai,22-Nov-01,7.59,8
Kannika,23-Nov-01,9.76,10
Kannika,23-Nov-01,9.82,10
Kannika,23-Nov-01,9.92,10
Sakda,23-Nov-01,9.41,9.8
Sakda,23-Nov-01,9.71,9.8
Sakda,23-Nov-01,9.64,9.8
Boonsri,07-Dec-01,12.08,4
Boonsri,07-Dec-01,12.08,4.4
Boonsri,07-Dec-01,12,4.2
Kohsoom,09-Dec-01,9.9,6
Kannika,21-Dec-01,10.1,4.5
Kannika,21-Dec-01,10.2,4.5
Kannika,21-Dec-01,10.3,4.5
Sakda,21-Dec-01,10.4,4.5
Sakda,21-Dec-01,10.4,4.5
Sakda,21-Dec-01,10.3,4.5
Kannika,27-Jan-02,12.1,1
Kannika,27-Jan-02,12,1
Kannika,27-Jan-02,11.8,1
Sakda,27-Jan-02,12.2,1
Sakda,27-Jan-02,12.2,1
Sakda,27-Jan-02,12.3,1
Chai,01-Feb-02,10.6,2
Chai,01-Feb-02,13.5,1.7
Chai,01-Feb-02,10.7,1.7
Somchair,02-Feb-02,9.5,0
Boonsri,15-Feb-02,10.7,1.9
Boonsri,15-Feb-02,11,1.9
Boonsri,16-Feb-02,10.7,1.8
Boonsri,16-Feb-02,10.8,1.8
Boonsri,17-Feb-02,11.1,1.3
Boonsri,17-Feb-02,11.2,1.3
Chai,18-Feb-02,10.2,3.5
Chai,18-Feb-02,11.1,3.5
Chai,18-Feb-02,9.8,3.5
Sakda,24-Feb-02,10.5,4
Sakda,24-Feb-02,10.5,4
Sakda,24-Feb-02,10.5,4
Kannika,25-Feb-02,10.8,4.5
Kannika,25-Feb-02,10.7,4.5
Kannika,25-Feb-02,10.8,4.5
Chai,16-Mar-02,11.3,5
Chai,16-Mar-02,11,5
Chai,16-Mar-02,10.8,5
Boonsri,21-Mar-02,10.2,3.2
Boonsri,21-Mar-02,10.5,3
Boonsri,21-Mar-02,10.6,3.4
Kohsoom,23-Mar-02,9.2,7.3
Kannika,26-Mar-02,9.8,8
Kannika,26-Mar-02,9.9,8
Kannika,26-Mar-02,9.9,8
Sakda,28-Mar-02,9.8,7.5
Sakda,28-Mar-02,8.7,7.5
Sakda,28-Mar-02,9.8,7.5
Somchair,29-Mar-02,10.3,7
Busarakhan,29-Mar-02,14.1,9
Chai,31-Mar-02,9.7,7
Chai,31-Mar-02,10.1,6
Chai,31-Mar-02,10.1,7
Somchair,20-Apr-02,9.2,13
Busarakhan,20-Apr-02,8.9,14
Boonsri,25-Apr-02,8.4,10
Boonsri,25-Apr-02,8.8,8.4
Boonsri,25-Apr-02,8.5,9.8
Chai,25-Apr-02,8,14
Chai,25-Apr-02,8.3,12
Chai,25-Apr-02,8.1,14
Kohsoom,27-Apr-02,8.5,15
Kannika,27-Apr-02,7.8,14.5
Kannika,27-Apr-02,7.7,14.5
Kannika,27-Apr-02,7.8,14.5
Sakda,27-Apr-02,7.5,14.5
Sakda,27-Apr-02,7.6,14.5
Sakda,27-Apr-02,7.6,14.5
Boonsri,09-May-02,8.33,16.5
Boonsri,09-May-02,8.5,16
Boonsri,09-May-02,8.16,16.5
Chai,11-May-02,8.2,15
Chai,11-May-02,8.8,14
Chai,11-May-02,9.1,15
Somchair,18-May-02,13.1,21
Busarakhan,18-May-02,10.1,20
Kannika,18-May-02,7.7,20
Kannika,18-May-02,7.6,20
Kannika,18-May-02,7.7,20
Sakda,18-May-02,7.5,20
Sakda,18-May-02,7.6,20
Sakda,18-May-02,7.7,20
Boonsri,23-May-02,8.2,19.5
Boonsri,23-May-02,8.8,19
Boonsri,23-May-02,7.6,19.5
Kohsoom,25-May-02,8.1,21
