location,sample date,Orthophosphate-phosphorus,Total phosphorus
Busarakhan,28/11/1998,0.1,0.16
Boonsri,05/12/1998,0.08,0.11
Boonsri,05/12/1998,0.08,0.1
Sakda,10/12/1998,0.08,0
Sakda,10/12/1998,0.08,0.1
Sakda,10/12/1998,0.08,0.1
Kohsoom,13/12/1998,0.15,0.28
Kannika,17/12/1998,0.04,0.08
Kannika,17/12/1998,0.04,0.09
Kannika,17/12/1998,0.04,0.09
Chai,18/12/1998,0.08,0.13
Chai,18/12/1998,0.07,0.12
Chai,18/12/1998,0.07,0.12
Somchair,19/12/1998,0.11,0.15
Busarakhan,19/12/1998,0.08,0.1
Boonsri,09/01/1999,0.09,0.13
Boonsri,09/01/1999,0.12,0.17
Boonsri,09/01/1999,0.09,0.13
Kohsoom,16/01/1999,0.12,0.18
Sakda,16/01/1999,0.06,0.07
Sakda,16/01/1999,0.05,0.07
Sakda,16/01/1999,0.05,0.05
Kannika,21/01/1999,0.06,0.07
Kannika,21/01/1999,0.04,0.05
Kannika,21/01/1999,0.07,0.08
Somchair,27/01/1999,0.1,0.15
Busarakhan,27/01/1999,0.1,0.1
Chai,30/01/1999,0.1,0.15
Chai,30/01/1999,0.04,0.12
Chai,30/01/1999,0.11,0.11
Boonsri,11/02/1999,0.07,0.11
Boonsri,11/02/1999,0.06,0.1
Boonsri,11/02/1999,0.06,0.1
Kohsoom,13/02/1999,0.04,0.06
Chai,18/02/1999,0.07,0.08
Chai,18/02/1999,0.06,0.09
Chai,18/02/1999,0.1,0.11
Somchair,20/02/1999,0.16,0.47
Busarakhan,20/02/1999,0.09,0.15
Kannika,26/02/1999,0.01,0.03
Kannika,26/02/1999,0.02,0.03
Kannika,26/02/1999,0.02,0.03
Sakda,27/02/1999,0.01,0.01
Sakda,27/02/1999,0.009,0.01
Sakda,27/02/1999,0.01,0.02
Boonsri,11/03/1999,0.04,0.07
Boonsri,11/03/1999,0.03,0.07
Boonsri,11/03/1999,0.04,0.07
Kohsoom,13/03/1999,0.1,0.19
Chai,17/03/1999,0.11,0.15
Chai,17/03/1999,0.13,0.35
Chai,17/03/1999,0.12,0.12
Somchair,19/03/1999,0.009,0.01
Busarakhan,19/03/1999,0.02,0.04
Kannika,24/03/1999,0.13,0.14
Kannika,24/03/1999,0.13,0.14
Kannika,24/03/1999,0.13,0.15
Sakda,25/03/1999,0.08,0.08
Sakda,25/03/1999,0.08,0.08
Sakda,25/03/1999,0.08,0.08
Boonsri,16/04/1999,0.03,0.08
Boonsri,16/04/1999,0.04,0.08
Boonsri,16/04/1999,0.04,0.08
Kohsoom,22/04/1999,0.13,0.23
Chai,22/04/1999,0.07,0.1
Chai,22/04/1999,0.05,0.11
Chai,22/04/1999,0.05,0.11
Somchair,23/04/1999,0.05,0.22
Busarakhan,23/04/1999,0.05,0.21
Kannika,23/04/1999,0.05,0.14
Kannika,23/04/1999,0.05,0.14
Kannika,23/04/1999,0.05,0.13
Sakda,26/04/1999,0.05,0.1
Sakda,26/04/1999,0.06,0.11
Sakda,26/04/1999,0.05,0.12
Boonsri,13/05/1999,0.06,0.1
Boonsri,13/05/1999,0.06,0.1
Boonsri,13/05/1999,0.08,0.11
Kohsoom,15/05/1999,0.12,0.18
Chai,20/05/1999,0.06,0.08
Chai,20/05/1999,0.03,0.06
Chai,20/05/1999,0.06,0.08
Sakda,26/05/1999,0.05,0.07
Sakda,26/05/1999,0.05,0.07
Sakda,26/05/1999,0.01,0.02
Somchair,27/05/1999,0.12,0.13
Busarakhan,27/05/1999,0.12,0.16
Kannika,28/05/1999,0.05,0.08
Kannika,28/05/1999,0.04,0.06
Kannika,28/05/1999,0.05,0.08
Boonsri,06/06/1999,0.06,0.1
Boonsri,06/06/1999,0.06,0.1
Boonsri,06/06/1999,0.06,0.1
Kohsoom,18/06/1999,0.23,0.42
Chai,19/06/1999,0.07,0.11
Chai,19/06/1999,0.05,0.09
Chai,19/06/1999,0.05,0.11
Somchair,22/06/1999,0.05,0.12
Busarakhan,22/06/1999,0.05,0.12
Kannika,23/06/1999,0.05,0.12
Kannika,23/06/1999,0.06,0.13
Kannika,23/06/1999,0.05,0.13
Sakda,25/06/1999,0.06,0.12
Sakda,25/06/1999,0.06,0.14
Sakda,25/06/1999,0.05,0.15
Boonsri,22/07/1999,0.06,0.09
Boonsri,22/07/1999,0.05,0.08
Boonsri,22/07/1999,0.06,0.09
Chai,22/07/1999,0.05,0.07
Chai,22/07/1999,0.06,0.08
Chai,22/07/1999,0.06,0.08
Kohsoom,24/07/1999,0.14,0.19
Somchair,24/07/1999,0.09,0.1
Busarakhan,24/07/1999,0.03,0.08
Kannika,25/07/1999,0.05,0.06
Kannika,25/07/1999,0.05,0.06
Kannika,25/07/1999,0.06,0.08
Sakda,26/07/1999,0.05,0.07
Sakda,28/07/1999,0.06,0.09
Sakda,28/07/1999,0.07,0.1
Sakda,28/07/1999,0.07,0.1
Boonsri,19/08/1999,0.04,0.08
Boonsri,19/08/1999,0.04,0.08
Kohsoom,28/08/1999,0.07,0.23
Chai,28/08/1999,0.05,0.12
Chai,28/08/1999,0.06,0.1
Chai,28/08/1999,0.06,0.1
Somchair,29/08/1999,0.03,0.06
Busarakhan,30/08/1999,0.04,0.1
Kannika,30/08/1999,0.04,0.08
Kannika,30/08/1999,0.04,0.09
Kannika,30/08/1999,0.05,0.07
Sakda,31/08/1999,0.05,0.08
Sakda,31/08/1999,0.04,0.09
Sakda,31/08/1999,0.05,0.08
Boonsri,16/09/1999,0.03,0.05
Boonsri,16/09/1999,0.03,0.05
Chai,16/09/1999,0.07,0.1
Chai,16/09/1999,0.08,0.1
Chai,16/09/1999,0.07,0.1
Kohsoom,18/09/1999,0.18,0.21
Somchair,18/09/1999,0.05,0.08
Busarakhan,18/09/1999,0.22,0.28
Kannika,19/09/1999,0.05,0.07
Kannika,19/09/1999,0.05,0.07
Kannika,19/09/1999,0.05,0.07
Sakda,21/09/1999,0.04,0.05
Sakda,21/09/1999,0.04,0.05
Sakda,21/09/1999,0.05,0.07
Boonsri,10/10/1999,0.03,0.05
Boonsri,10/10/1999,0.04,0.06
Kohsoom,20/10/1999,0.02,0.04
Chai,21/10/1999,0.05,0.07
Chai,21/10/1999,0.04,0.06
Chai,21/10/1999,0.04,0.06
Somchair,21/10/1999,0.05,0.07
Busarakhan,22/10/1999,0.06,0.09
Kannika,22/10/1999,0.05,0.08
Kannika,22/10/1999,0.04,0.06
Kannika,22/10/1999,0.05,0.08
Sakda,23/10/1999,0.04,0.06
Sakda,23/10/1999,0.04,0.06
Sakda,23/10/1999,0.05,0.07
Boonsri,05/11/1999,0.08,0.11
Boonsri,05/11/1999,0.08,0.11
Kohsoom,07/11/1999,0.04,0.07
Chai,18/11/1999,0.04,0.06
Chai,18/11/1999,0.06,0.08
Chai,18/11/1999,0.08,0.1
Somchair,20/11/1999,0.07,0.08
Busarakhan,20/11/1999,0.06,0.07
Kannika,26/11/1999,0.05,0.08
Kannika,26/11/1999,0.05,0.08
Kannika,26/11/1999,0.03,0.05
Sakda,26/11/1999,0.04,0.05
Sakda,26/11/1999,0.04,0.05
Sakda,26/11/1999,0.04,0.05
Boonsri,09/12/1999,0.05,0.07
Boonsri,09/12/1999,0.05,0.07
Chai,09/12/1999,0.03,0.05
Chai,09/12/1999,0.03,0.05
Chai,09/12/1999,0.05,0.07
Somchair,10/12/1999,0.06,0.08
Busarakhan,10/12/1999,0.04,0.06
Kohsoom,11/12/1999,0.03,0.04
Sakda,15/12/1999,0.04,0.05
Sakda,15/12/1999,0.02,0.04
Sakda,15/12/1999,0.04,0.05
Kannika,16/12/1999,0.03,0.05
Kannika,16/12/1999,0.02,0.04
Kannika,16/12/1999,0.03,0.05
Boonsri,14/01/2000,0.05,0.15
Boonsri,14/01/2000,0.04,0.12
Chai,14/01/2000,0.01,0.05
Chai,14/01/2000,0.01,0.05
Chai,14/01/2000,0.01,0.05
Somchair,15/01/2000,0.04,0.05
Busarakhan,15/01/2000,0.04,0.05
Kohsoom,16/01/2000,0.14,0.18
Kannika,19/01/2000,0.01,0.02
Kannika,19/01/2000,0.01,0.02
Kannika,19/01/2000,0.02,0.03
Sakda,19/01/2000,0.06,0.08
Sakda,19/01/2000,0.03,0.05
Sakda,19/01/2000,0.02,0.04
Boonsri,10/02/2000,0.04,0.13
Boonsri,10/02/2000,0.04,0.14
Boonsri,10/02/2000,0.04,0.12
Kohsoom,12/02/2000,0.17,0.2
Chai,18/02/2000,0.04,0.05
Chai,18/02/2000,0.04,0.05
Chai,18/02/2000,0.03,0.04
Kannika,18/02/2000,0.03,0.04
Kannika,18/02/2000,0.04,0.05
Kannika,18/02/2000,0.05,0.06
Somchair,19/02/2000,0.01,0.02
Busarakhan,19/02/2000,0.01,0.02
Sakda,19/02/2000,0.07,0.09
Sakda,19/02/2000,0.03,0.05
Sakda,19/02/2000,0.05,0.07
Boonsri,10/03/2000,0.03,0.09
Boonsri,10/03/2000,0.03,0.09
Boonsri,10/03/2000,0.03,0.09
Kohsoom,12/03/2000,0.18,0.22
Chai,18/03/2000,0.02,0.05
Chai,18/03/2000,0.02,0.04
Chai,18/03/2000,0.01,0.04
Somchair,19/03/2000,0.13,0.15
Busarakhan,19/03/2000,0.07,0.09
Sakda,23/03/2000,0.01,0.02
Sakda,23/03/2000,0.02,0.04
Sakda,23/03/2000,0.01,0.04
Kannika,24/03/2000,0.01,0.02
Kannika,24/03/2000,0.02,0.03
Kannika,24/03/2000,0.01,0.02
Boonsri,14/04/2000,0.04,0.07
Boonsri,14/04/2000,0.03,0.06
Boonsri,14/04/2000,0.04,0.07
Kohsoom,16/04/2000,0.16,0.2
Chai,28/04/2000,0.05,0.09
Chai,28/04/2000,0.05,0.09
Chai,28/04/2000,0.06,0.11
Somchair,28/04/2000,0.07,0.1
Busarakhan,29/04/2000,0.07,0.19
Kannika,29/04/2000,0.06,0.11
Kannika,29/04/2000,0.07,0.12
Kannika,29/04/2000,0.06,0.13
Sakda,29/04/2000,0.05,0.14
Sakda,29/04/2000,0.05,0.16
Sakda,29/04/2000,0.06,0.16
Boonsri,12/05/2000,0.07,0.12
Boonsri,12/05/2000,0.06,0.11
Boonsri,12/05/2000,0.06,0.11
Kohsoom,14/05/2000,0.14,0.18
Chai,19/05/2000,0.03,0.05
Chai,19/05/2000,0.03,0.05
Chai,19/05/2000,0.03,0.05
Somchair,20/05/2000,0.05,0.06
Sakda,26/05/2000,0.05,0.07
Sakda,26/05/2000,0.05,0.07
Sakda,26/05/2000,0.05,0.07
Busarakhan,27/05/2000,0.03,0.04
Kannika,27/05/2000,0.05,0.06
Kannika,27/05/2000,0.05,0.06
Kannika,27/05/2000,0.08,0.1
Boonsri,09/06/2000,0.06,0.09
Boonsri,09/06/2000,0.07,0.1
Boonsri,09/06/2000,0.08,0.12
Sakda,24/06/2000,0.07,0.1
Sakda,24/06/2000,0.08,0.12
Sakda,24/06/2000,0.09,0.13
Kannika,25/06/2000,0.08,0.12
Kannika,25/06/2000,0.08,0.12
Kannika,25/06/2000,0.08,0.11
Busarakhan,26/06/2000,0.06,0.09
Somchair,27/06/2000,0.05,0.09
Chai,28/06/2000,0.09,0.14
Chai,28/06/2000,0.1,0.13
Chai,28/06/2000,0.1,0.13
Kohsoom,29/06/2000,0.2,0.29
Boonsri,14/07/2000,0.07,0.1
Boonsri,14/07/2000,0.07,0.1
Boonsri,14/07/2000,0.08,0.1
Kohsoom,16/07/2000,0.17,0.21
Chai,21/07/2000,0.04,0.05
Chai,21/07/2000,0.03,0.04
Chai,21/07/2000,0.02,0.03
Somchair,27/07/2000,0.01,0.02
Busarakhan,28/07/2000,0.01,0.02
Kannika,28/07/2000,0.01,0.02
Kannika,28/07/2000,0.01,0.02
Kannika,28/07/2000,0.01,0.02
Sakda,29/07/2000,0.01,0.02
Sakda,29/07/2000,0.01,0.02
Sakda,29/07/2000,0.01,0.02
Boonsri,17/08/2000,0.05,0.1
Boonsri,17/08/2000,0.06,0.11
Boonsri,17/08/2000,0.05,0.11
Kohsoom,25/08/2000,0.08,0.19
Chai,26/08/2000,0.09,0.23
Chai,26/08/2000,0.1,0.24
Chai,26/08/2000,0.09,0.22
Somchair,27/08/2000,0.06,0.17
Busarakhan,28/08/2000,0.06,0.17
Kannika,28/08/2000,0.09,0.17
Kannika,28/08/2000,0.08,0.19
Kannika,28/08/2000,0.09,0.21
Sakda,29/08/2000,0.08,0.15
Sakda,29/08/2000,0.07,0.18
Sakda,29/08/2000,0.08,0.18
Boonsri,08/09/2000,0.07,0.08
Boonsri,08/09/2000,0.07,0.08
Boonsri,08/09/2000,0.08,0.1
Kohsoom,10/09/2000,0.16,0.19
Sakda,21/09/2000,0.03,0.04
Sakda,21/09/2000,0.07,0.08
Sakda,21/09/2000,0.04,0.05
Chai,23/09/2000,0.04,0.05
Chai,23/09/2000,0.04,0.05
Chai,23/09/2000,0.04,0.05
Kannika,23/09/2000,0.03,0.04
Kannika,23/09/2000,0.02,0.04
Kannika,23/09/2000,0.03,0.05
Somchair,24/09/2000,0.01,0.02
Busarakhan,24/09/2000,0.04,0.05
Boonsri,06/10/2000,0.06,0.1
Boonsri,06/10/2000,0.06,0.1
Boonsri,06/10/2000,0.07,0.11
Kohsoom,15/10/2000,0.14,0.2
Chai,16/10/2000,0.11,0.19
Chai,16/10/2000,0.1,0.18
Chai,16/10/2000,0.1,0.18
Somchair,17/10/2000,0.06,0.13
Busarakhan,18/10/2000,0.08,0.12
Kannika,18/10/2000,0.06,0.15
Kannika,18/10/2000,0.06,0.14
Kannika,18/10/2000,0.06,0.13
Sakda,19/10/2000,0.07,0.12
Sakda,19/10/2000,0.08,0.13
Sakda,19/10/2000,0.09,0.15
Boonsri,10/11/2000,0.09,0.12
Boonsri,10/11/2000,0.08,0.11
Boonsri,10/11/2000,0.09,0.12
Kohsoom,12/11/2000,0.15,0.19
Chai,18/11/2000,0.08,0.11
Chai,18/11/2000,0.08,0.11
Chai,18/11/2000,0.08,0.11
Somchair,23/11/2000,0.02,0.05
Sakda,23/11/2000,0.09,0.14
Sakda,23/11/2000,0.09,0.14
Sakda,23/11/2000,0.09,0.14
Busarakhan,24/11/2000,0.05,0.08
Kannika,25/11/2000,0.09,0.14
Kannika,25/11/2000,0.09,0.15
Kannika,25/11/2000,0.09,0.15
Chai,03/12/2000,0.1,0.16
Chai,03/12/2000,0.1,0.15
Chai,03/12/2000,0.1,0.16
Somchair,04/12/2000,0.02,0.05
Busarakhan,04/12/2000,0.06,0.08
Boonsri,08/12/2000,0.08,0.12
Boonsri,08/12/2000,0.11,0.14
Boonsri,08/12/2000,0.1,0.14
Kohsoom,10/12/2000,0.14,0.18
Kannika,30/12/2000,0.1,0.14
Kannika,30/12/2000,0.1,0.14
Kannika,30/12/2000,0.1,0.14
Sakda,30/12/2000,0.1,0.14
Sakda,30/12/2000,0.1,0.14
Sakda,30/12/2000,0.1,0.12
Chai,16/01/2001,0.05,0.09
Chai,16/01/2001,0.08,0.11
Chai,16/01/2001,0.08,0.11
Somchair,17/01/2001,0.07,0.1
Busarakhan,17/01/2001,0.12,0.14
Boonsri,20/01/2001,0.04,0.06
Boonsri,20/01/2001,0.05,0.07
Boonsri,20/01/2001,0.06,0.08
Sakda,25/01/2001,0.04,0.05
Sakda,25/01/2001,0.03,0.05
Sakda,25/01/2001,0.03,0.05
Kannika,27/01/2001,0.06,0.09
Kannika,27/01/2001,0.06,0.09
Kannika,27/01/2001,0.05,0.08
Kohsoom,28/01/2001,0.17,0.21
Chai,17/02/2001,0.02,0.04
Chai,17/02/2001,0.02,0.04
Chai,17/02/2001,0.02,0.04
Kohsoom,18/02/2001,0.13,0.17
Somchair,18/02/2001,0.13,0.17
Busarakhan,18/02/2001,0.06,0.09
Sakda,22/02/2001,0.08,0.1
Sakda,22/02/2001,0.08,0.1
Sakda,22/02/2001,0.08,0.1
Kannika,24/02/2001,0.04,0.06
Kannika,24/02/2001,0.06,0.08
Kannika,24/02/2001,0.05,0.07
Boonsri,10/03/2001,0.06,0.07
Boonsri,10/03/2001,0.05,0.06
Boonsri,10/03/2001,0.05,0.06
Kohsoom,18/03/2001,0.12,0.15
Sakda,22/03/2001,0.02,0.04
Sakda,22/03/2001,0.02,0.04
Sakda,22/03/2001,0.02,0.04
Kannika,25/03/2001,0.02,0.04
Kannika,25/03/2001,0.02,0.04
Kannika,25/03/2001,0.02,0.04
Chai,31/03/2001,0.02,0.04
Chai,31/03/2001,0.02,0.04
Chai,31/03/2001,0.02,0.04
Somchair,31/03/2001,0.05,0.09
Busarakhan,31/03/2001,0.06,0.09
Boonsri,19/04/2001,0.08,0.11
Boonsri,19/04/2001,0.08,0.11
Boonsri,19/04/2001,0.07,0.1
Kohsoom,27/04/2001,0.15,0.23
Chai,27/04/2001,0.06,0.1
Chai,27/04/2001,0.07,0.12
Chai,27/04/2001,0.04,0.06
Somchair,29/04/2001,0.03,0.07
Busarakhan,29/04/2001,0.03,0.08
Kannika,29/04/2001,0.03,0.06
Kannika,29/04/2001,0.03,0.06
Kannika,29/04/2001,0.05,0.09
Sakda,30/04/2001,0.05,0.08
Sakda,30/04/2001,0.03,0.07
Sakda,30/04/2001,0.04,0.09
Boonsri,04/05/2001,0.03,0.05
Boonsri,04/05/2001,0.03,0.05
Boonsri,04/05/2001,0.02,0.05
Kohsoom,13/05/2001,0.19,0.24
Chai,27/05/2001,0.01,0.03
Chai,27/05/2001,0.01,0.03
Chai,27/05/2001,0.01,0.03
Kannika,27/05/2001,0.06,0.09
Kannika,27/05/2001,0.06,0.09
Kannika,27/05/2001,0.06,0.09
Sakda,27/05/2001,0.06,0.09
Sakda,27/05/2001,0.06,0.09
Sakda,27/05/2001,0.06,0.09
Somchair,28/05/2001,0.03,0.06
Busarakhan,28/05/2001,0.01,0.02
Boonsri,06/06/2001,0.02,0.05
Boonsri,06/06/2001,0.02,0.05
Boonsri,06/06/2001,0.03,0.07
Kohsoom,19/06/2001,0.3,0.68
Chai,19/06/2001,0.07,0.12
Chai,19/06/2001,0.07,0.13
Chai,19/06/2001,0.08,0.13
Somchair,21/06/2001,0.06,0.12
Busarakhan,21/06/2001,0.06,0.11
Kannika,21/06/2001,0.07,0.11
Kannika,21/06/2001,0.06,0.11
Kannika,21/06/2001,0.09,0.12
Sakda,21/06/2001,0.07,0.1
Sakda,21/06/2001,0.07,0.11
Sakda,21/06/2001,0.08,0.12
Chai,07/07/2001,0.04,0.07
Chai,07/07/2001,0.04,0.07
Chai,07/07/2001,0.04,0.07
Boonsri,27/07/2001,0.06,0.09
Boonsri,27/07/2001,0.04,0.08
Boonsri,27/07/2001,0.04,0.08
Kohsoom,27/07/2001,0.12,0.18
Kannika,27/07/2001,0.04,0.07
Kannika,27/07/2001,0.02,0.05
Kannika,27/07/2001,0.02,0.04
Sakda,27/07/2001,0.04,0.08
Sakda,27/07/2001,0.04,0.08
Sakda,27/07/2001,0.06,0.09
Somchair,28/07/2001,0.04,0.07
Busarakhan,28/07/2001,0.03,0.06
Boonsri,04/08/2001,0.04,0.07
Boonsri,04/08/2001,0.04,0.07
Boonsri,04/08/2001,0.04,0.07
Kohsoom,26/08/2001,0.12,0.22
Chai,26/08/2001,0.06,0.1
Chai,26/08/2001,0.06,0.1
Chai,26/08/2001,0.06,0.11
Somchair,28/08/2001,0.05,0.1
Busarakhan,28/08/2001,0.07,0.11
Kannika,28/08/2001,0.05,0.1
Kannika,28/08/2001,0.05,0.12
Kannika,28/08/2001,0.05,0.1
Sakda,29/08/2001,0.06,0.09
Sakda,29/08/2001,0.06,0.1
Sakda,29/08/2001,0.05,0.11
Boonsri,14/09/2001,0.03,0.06
Boonsri,14/09/2001,0.05,0.08
Boonsri,14/09/2001,0.05,0.08
Kohsoom,16/09/2001,0.05,0.09
Chai,22/09/2001,0.03,0.06
Chai,22/09/2001,0.03,0.06
Chai,22/09/2001,0.06,0.09
Somchair,23/09/2001,0.03,0.06
Busarakhan,23/09/2001,0.02,0.04
Kannika,25/09/2001,0.04,0.08
Kannika,25/09/2001,0.03,0.06
Kannika,25/09/2001,0.04,0.08
Sakda,25/09/2001,0.04,0.07
Sakda,25/09/2001,0.03,0.06
Sakda,25/09/2001,0.03,0.06
Boonsri,12/10/2001,0.03,0.05
Boonsri,12/10/2001,0.03,0.05
Boonsri,12/10/2001,0.04,0.06
Kohsoom,14/10/2001,0.04,0.06
Kohsoom,09/12/2001,0.15,0.19
Busarakhan,24/01/2002,0.17,0.21
Busarakhan,25/01/2002,0.19,0.23
Busarakhan,26/01/2002,0.11,0.14
Kannika,27/01/2002,0.02,0.06
Kannika,27/01/2002,0.02,0.04
Kannika,27/01/2002,0.01,0.04
Sakda,27/01/2002,0.01,0.03
Sakda,27/01/2002,0.005,0.02
Sakda,27/01/2002,0.007,0.03
Chai,01/02/2002,0.01,0.01
Chai,01/02/2002,0.04,0.05
Chai,01/02/2002,0.03,0.05
Somchair,02/02/2002,0.02,0.06
Busarakhan,02/02/2002,0.005,0.03
Boonsri,15/02/2002,0.12,0.15
Boonsri,15/02/2002,0.1,0.12
Boonsri,16/02/2002,0.09,0.12
Boonsri,16/02/2002,0.13,0.15
Boonsri,17/02/2002,0.11,0.15
Boonsri,17/02/2002,0.16,0.18
Chai,18/02/2002,0.05,0.07
Chai,18/02/2002,0.04,0.07
Chai,18/02/2002,0.01,0.04
Sakda,24/02/2002,0.07,0.1
Sakda,24/02/2002,0.03,0.06
Sakda,24/02/2002,0.1,0.12
Kannika,25/02/2002,0.006,0.02
Kannika,25/02/2002,0.006,0.02
Kannika,25/02/2002,0.1,0.13
Chai,16/03/2002,0.01,0.04
Chai,16/03/2002,0.02,0.04
Chai,16/03/2002,0.01,0.04
Boonsri,21/03/2002,0.12,0.16
Boonsri,21/03/2002,0.11,0.13
Boonsri,21/03/2002,0.11,0.14
Kohsoom,23/03/2002,0.12,0.17
Kannika,26/03/2002,0.04,0.07
Kannika,26/03/2002,0.01,0.04
Kannika,26/03/2002,0.03,0.04
Sakda,28/03/2002,0.03,0.04
Sakda,28/03/2002,0.01,0.03
Sakda,28/03/2002,0.02,0.03
Somchair,29/03/2002,0.02,0.05
Busarakhan,29/03/2002,0.007,0.03
Chai,31/03/2002,0.06,0.08
Chai,31/03/2002,0.04,0.07
Chai,31/03/2002,0.05,0.07
Somchair,20/04/2002,0.005,0.02
Busarakhan,20/04/2002,0.005,0.02
Boonsri,25/04/2002,0.15,0.17
Boonsri,25/04/2002,0.13,0.16
Boonsri,25/04/2002,0.13,0.16
Chai,25/04/2002,0.005,0.02
Chai,25/04/2002,0.005,0.03
Chai,25/04/2002,0.01,0.03
Kohsoom,27/04/2002,0.14,0.18
Kannika,27/04/2002,0.01,0.03
Kannika,27/04/2002,0.006,0.02
Kannika,27/04/2002,0.007,0.02
Sakda,27/04/2002,0.007,0.02
Sakda,27/04/2002,0.006,0.03
Sakda,27/04/2002,0.01,0.03
Boonsri,09/05/2002,0.14,0.17
Boonsri,09/05/2002,0.15,0.17
Boonsri,09/05/2002,0.16,0.18
Chai,11/05/2002,0.005,0.03
Chai,11/05/2002,0.005,0.03
Chai,11/05/2002,0.005,0.03
Somchair,18/05/2002,0.005,0.03
Busarakhan,18/05/2002,0.005,0.02
Kannika,18/05/2002,0.0095,0.03
Kannika,18/05/2002,0.005,0.03
Kannika,18/05/2002,0.02,0.04
Sakda,18/05/2002,0.02,0.04
Sakda,18/05/2002,0.03,0.05
Sakda,18/05/2002,0.03,0.05
Boonsri,23/05/2002,0.05,0.09
